"","ID","Paper","Language","N","FFD_N1_val","FFD_N1_val_SD","FFD_N1_inval","FFD_N1_inval_SD","FFD_N1_inval_RAN","FFD_N1_inval_RAN_SD","FFD_N1_inval_X","FFD_N1_inval_X_SD","FFD_N1_inval_ORTH","FFD_N1_inval_ORTH_SD","FFD_N1_inval_UNREL","FFD_N1_inval_UNREL_SD","FFD_N1_inval_SEM","FFD_N1_inval_SEM_SD","FFD_N1_inval_PHON","FFD_N1_inval_PHON_SD","FFD_N1_inval_PSEUD","FFD_N1_inval_PSEUD_SD","GD_N1_val","GD_N1_val_SD","GD_N1_inval","GD_N1_inval_SD","GD_N1_inval_RAN","GD_N1_inval_RAN_SD","GD_N1_inval_X","GD_N1_inval_X_SD","GD_N1_inval_ORTH","GD_N1_inval_ORTH_SD","GD_N1_inval_UNREL","GD_N1_inval_UNREL_SD","GD_N1_inval_SEM","GD_N1_inval_SEM_SD","GD_N1_inval_PHON","GD_N1_inval_PHON_SD","GD_N1_inval_PSEUD","GD_N1_inval_PSEUD_SD","Total_N1_val","Total_N1_val_SD","Total_N1_inval","Total_N1_inval_SD","Total_N1_inval_RAN","Total_N1_inval_RAN_SD","Total_N1_inval_X","Total_N1_inval_X_SD","Total_N1_inval_ORTH","Total_N1_inval_ORTH_SD","Total_N1_inval_UNREL","Total_N1_inval_UNREL_SD","Total_N1_inval_SEM","Total_N1_inval_SEM_SD","Total_N1_inval_PHON","Total_N1_inval_PHON_SD","Total_N1_inval_PSEUD","Total_N1_inval_PSEUD_SD","SFD_N1_val","SFD_N1_inval","SFD_N1_val_SD","SFD_N1_inval_SD","SFD_N1_inval_RAN","SFD_N1_inval_RAN_SD","SFD_N1_inval_X","SFD_N1_inval_X_SD","FixProb_N1_val","SFD_N1_inval_ORTH","SFD_N1_inval_ORTH_SD","SFD_N1_inval_UNREL","SFD_N1_inval_UNREL_SD","SFD_N1_inval_SEM","SFD_N1_inval_SEM_SD","SFD_N1_inval_PHON","SFD_N1_inval_PHON_SD","SFD_N1_inval_PSEUD","SFD_N1_inval_PSEUD_SD"
"21",21,"Yang, Wang, Tong, & Rayner (2012), Exp.2","Chinese",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,41,NA,NA,NA,NA,NA,NA,NA,NA,278.5,54.5,273,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,270,50.5,260,45,NA,NA,NA,NA
"22",22,"Yang, Wang, Xu, & Rayner (2009)","Chinese",42,231,74,NA,NA,NA,NA,NA,NA,NA,NA,255,85,NA,NA,NA,NA,NA,NA,245,79,NA,NA,NA,NA,NA,NA,NA,NA,284,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Yang, Wang, Xu, & Rayner (2009), Exp.2","Chinese",66,234.5,73,NA,NA,NA,NA,NA,NA,NA,NA,261.5,92,NA,NA,NA,NA,267,85.5,293.5,132.5,NA,NA,NA,NA,NA,NA,NA,NA,351.5,161,NA,NA,NA,NA,376,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Winskel & Salehuddin (2014)","Malay",30,244.5,NA,NA,NA,NA,NA,277.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,327.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Yang, Rayner, Li, & Wang (2012)","Chinese",36,256,41,NA,NA,NA,NA,NA,NA,NA,NA,270,39,NA,NA,NA,NA,NA,NA,307,78,NA,NA,NA,NA,NA,NA,NA,NA,382,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,280,56,NA,NA,NA,NA,NA,NA
"26",26,"Angele, Slattery, Yang, Kliegl, & Rayner (2008)","English",32,252,41,NA,NA,275,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,60,NA,NA,338,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,46,NA,296,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Lima (1987)","English",18,228.5,NA,NA,NA,NA,NA,232.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.5,NA,NA,NA,NA,NA,299.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Lima (1987), Exp.2","English",24,221,NA,NA,NA,239.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Belanger, Mayberry, & Rayner (2013)","English",20,225.5,74,NA,NA,NA,NA,NA,NA,246.5,91,242,100,NA,NA,236,76.5,NA,NA,254.5,103,NA,NA,NA,NA,NA,NA,272,112.5,270.5,126.5,NA,NA,266,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,74,NA,NA,NA,NA,NA,NA,251.5,90.5,244,101,NA,NA,244,77.5,NA,NA
"30",30,"Balota, Pollatsek, & Rayner (1985)","English",30,221,NA,NA,NA,NA,NA,NA,NA,223,NA,240,NA,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,NA,NA,256,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
